"","cross_EWR_1","vis_EWR_1","snow_EWR_1","TS_EWR_1","rain_EWR_1","status_EWR","A_EWR","AirDelay_EWR"
"108",3,10,"FALSE","FALSE","FALSE",0,16,0.65
"109",3.75877048314363,3,"FALSE","FALSE","FALSE",0,20,-0.05
"110",3.75877048314363,3,"FALSE","FALSE","FALSE",0,36,-26.06
"111",3.75877048314363,3,"FALSE","FALSE","FALSE",0,38,-9.43
"112",3.75877048314363,3,"FALSE","FALSE","FALSE",0,36,-5.86
"113",3.75877048314363,3,"FALSE","FALSE","FALSE",0,40,-0.9
"114",3.75877048314363,3,"FALSE","FALSE","FALSE",0,35,-3.03
"115",7.87846202409766,3,"FALSE","FALSE","FALSE",0,39,-2.87
"116",7.87846202409766,3,"FALSE","FALSE","FALSE",0,27,-0.74
"117",7.87846202409766,3,"FALSE","FALSE","FALSE",0,39,4.11
"118",7.87846202409766,5,"FALSE","FALSE","FALSE",0,35,2.21
"119",7.87846202409766,5,"FALSE","FALSE","FALSE",0,36,1.36
"120",7.87846202409766,5,"FALSE","FALSE","FALSE",0,30,0.63
"121",4.92403876506104,10,"FALSE","FALSE","FALSE",0,23,-0.04
"122",4.92403876506104,10,"FALSE","FALSE","FALSE",0,36,5.06
"123",4.92403876506104,10,"FALSE","FALSE","FALSE",1,40,-6.97
"124",4.33012701892219,10,"FALSE","FALSE","FALSE",1,36,18.73
"125",4.33012701892219,10,"FALSE","FALSE","FALSE",1,43,37.26
"126",4.33012701892219,10,"FALSE","FALSE","FALSE",1,36,27.86
"127",14.1413274131039,10,"FALSE","FALSE","FALSE",1,42,5.51
"128",14.1413274131039,10,"FALSE","FALSE","FALSE",1,29,4.4
"129",14.1413274131039,10,"FALSE","FALSE","FALSE",1,36,-3.1
"130",16.0696902421635,6,"FALSE","FALSE","TRUE",1,34,-4.11
"131",16.0696902421635,6,"FALSE","FALSE","TRUE",1,38,-1.22
"132",16.0696902421635,6,"FALSE","FALSE","TRUE",1,32,-1.33
"133",7.51754096628727,10,"FALSE","FALSE","FALSE",0,22,-50.58
"134",7.51754096628727,10,"FALSE","FALSE","FALSE",0,37,-2.43
"135",7.51754096628727,10,"FALSE","FALSE","FALSE",0,37,-7.89
"136",7.51754096628727,10,"FALSE","FALSE","FALSE",0,35,-8.34
"137",7.51754096628727,10,"FALSE","FALSE","FALSE",0,42,-3.12
"138",7.51754096628727,10,"FALSE","FALSE","FALSE",0,33,-3.29
"139",11.5701769743577,10,"FALSE","FALSE","FALSE",0,40,1.61
"140",11.5701769743577,10,"FALSE","FALSE","FALSE",0,27,-2.24
"141",11.5701769743577,10,"FALSE","FALSE","FALSE",0,34,1.37
"142",11.5701769743577,10,"FALSE","FALSE","FALSE",0,33,3.06
"143",11.5701769743577,10,"FALSE","FALSE","FALSE",0,37,-1.81
"144",11.5701769743577,10,"FALSE","FALSE","FALSE",0,33,0.42
"145",3.42020143325669,10,"FALSE","FALSE","FALSE",0,22,-1.32
"146",3.42020143325669,10,"FALSE","FALSE","FALSE",0,36,-48.09
"147",3.42020143325669,10,"FALSE","FALSE","FALSE",0,34,-49.86
"148",3.42020143325669,10,"FALSE","FALSE","FALSE",0,37,-8.72
"149",3.42020143325669,10,"FALSE","FALSE","FALSE",0,39,-2.77
"150",3.42020143325669,10,"FALSE","FALSE","FALSE",0,36,1.78
"151",3.42020143325669,10,"FALSE","FALSE","FALSE",0,39,-2.2
"152",3.42020143325669,10,"FALSE","FALSE","FALSE",0,30,0.9
"153",3.42020143325669,10,"FALSE","FALSE","FALSE",0,33,-0.21
"154",2.43107448733702,10,"FALSE","FALSE","FALSE",0,35,5.59
"155",2.43107448733702,10,"FALSE","FALSE","FALSE",0,37,7.59
"156",2.43107448733702,10,"FALSE","FALSE","FALSE",0,31,2.19
"157",2.08377813200316,6,"FALSE","FALSE","TRUE",0,23,2.32
"158",2.08377813200316,6,"FALSE","FALSE","TRUE",1,37,-25.71
"159",2.08377813200316,6,"FALSE","FALSE","TRUE",1,39,-4.62
"160",2.08377813200316,6,"FALSE","FALSE","TRUE",1,39,11.59
"161",2.08377813200316,6,"FALSE","FALSE","TRUE",1,40,5.28
"162",2.08377813200316,6,"FALSE","FALSE","TRUE",1,38,3.18
"163",4.16755626400633,6,"FALSE","FALSE","TRUE",1,40,4.58
"164",4.16755626400633,6,"FALSE","FALSE","TRUE",1,30,1.14
"165",4.16755626400633,6,"FALSE","FALSE","TRUE",1,31,5.31
"166",4.16755626400633,6,"FALSE","FALSE","TRUE",1,37,0.71
"167",4.16755626400633,6,"FALSE","FALSE","TRUE",1,38,-0.06
"168",4.16755626400633,6,"FALSE","FALSE","TRUE",1,31,-1.52
"169",2.08377813200316,10,"FALSE","FALSE","FALSE",0,23,-28.48
"170",2.08377813200316,10,"FALSE","FALSE","FALSE",1,36,5.63
"171",2.08377813200316,10,"FALSE","FALSE","FALSE",1,40,0.82
"172",2.08377813200316,10,"FALSE","FALSE","FALSE",1,38,-1.08
"173",2.08377813200316,10,"FALSE","FALSE","FALSE",1,40,4.36
"174",2.08377813200316,10,"FALSE","FALSE","FALSE",1,36,5.91
"175",3.47296355333861,10,"FALSE","FALSE","FALSE",1,41,7.71
"176",3.47296355333861,10,"FALSE","FALSE","FALSE",1,29,12.46
"177",3.47296355333861,10,"FALSE","FALSE","FALSE",1,35,7.93
"178",3.47296355333861,10,"FALSE","FALSE","FALSE",1,33,6.63
"179",3.47296355333861,10,"FALSE","FALSE","FALSE",1,37,1.72
"180",3.47296355333861,10,"FALSE","FALSE","FALSE",1,31,0.3
"181",0,10,"FALSE","FALSE","FALSE",0,19,0.65
"182",0,10,"FALSE","FALSE","FALSE",0,30,-3.37
"183",0,10,"FALSE","FALSE","FALSE",0,37,-38.33
"184",0,10,"FALSE","FALSE","FALSE",0,34,-9.16
"185",0,10,"FALSE","FALSE","FALSE",0,30,-12.24
"186",0,10,"FALSE","FALSE","FALSE",0,40,-1.52
"187",8.5,10,"FALSE","FALSE","FALSE",0,31,0.5
"188",8.5,10,"FALSE","FALSE","FALSE",0,25,-5.78
"189",8.5,10,"FALSE","FALSE","FALSE",0,34,-0.47
"190",8.5,10,"FALSE","FALSE","FALSE",0,25,-2.08
"191",8.5,10,"FALSE","FALSE","FALSE",0,25,-2.81
"192",8.5,10,"FALSE","FALSE","FALSE",0,15,-7.47
"193",3.76222157658236,10,"FALSE","FALSE","FALSE",0,19,-38.5
"194",3.76222157658236,10,"FALSE","FALSE","FALSE",0,36,1.91
"195",3.76222157658236,10,"FALSE","FALSE","FALSE",0,38,-41.05
"196",0,10,"FALSE","FALSE","FALSE",0,37,-9.17
"197",0,10,"FALSE","FALSE","FALSE",0,40,-6.37
"198",0,10,"FALSE","FALSE","FALSE",0,35,-8
"199",1.56283359900237,10,"FALSE","FALSE","FALSE",0,39,-4.77
"200",1.56283359900237,10,"FALSE","FALSE","FALSE",0,27,-3.46
"201",1.56283359900237,10,"FALSE","FALSE","FALSE",0,39,-6.18
"202",1.56283359900237,10,"FALSE","FALSE","FALSE",0,34,-3.84
"203",1.56283359900237,10,"FALSE","FALSE","FALSE",0,37,1.44
"204",1.56283359900237,10,"FALSE","FALSE","FALSE",0,30,-1.6
"205",2.5,10,"FALSE","FALSE","FALSE",0,22,-0.52
"206",2.5,10,"FALSE","FALSE","FALSE",0,36,-32.09
"207",2.5,10,"FALSE","FALSE","FALSE",0,40,-17.97
"208",0.868240888334652,10,"FALSE","FALSE","FALSE",0,37,-11.03
"209",0.868240888334652,10,"FALSE","FALSE","FALSE",0,43,-6.52
"210",0.868240888334652,10,"FALSE","FALSE","FALSE",0,35,-8.15
"211",1.36808057330267,10,"FALSE","FALSE","FALSE",0,42,-5.19
"212",1.36808057330267,10,"FALSE","FALSE","FALSE",0,29,-2.03
"213",1.36808057330267,10,"FALSE","FALSE","FALSE",0,36,-22.12
"214",1.36808057330267,10,"FALSE","FALSE","FALSE",0,34,-4.18
"215",1.36808057330267,10,"FALSE","FALSE","FALSE",0,38,-0.44
"216",1.36808057330267,10,"FALSE","FALSE","FALSE",0,32,-1.25
"217",0,10,"FALSE","FALSE","FALSE",0,22,-1.26
"218",0,10,"FALSE","FALSE","FALSE",0,37,-27.69
"219",0,10,"FALSE","FALSE","FALSE",0,37,-11.7
"220",0,10,"FALSE","FALSE","FALSE",0,36,-0.44
"221",0,10,"FALSE","FALSE","FALSE",0,42,-2.28
"222",0,10,"FALSE","FALSE","FALSE",0,33,-11.14
"223",0.868240888334652,10,"FALSE","FALSE","FALSE",0,39,-4.05
"224",0.868240888334652,10,"FALSE","FALSE","FALSE",0,27,-4.1
"225",0.868240888334652,10,"FALSE","FALSE","FALSE",0,34,-0.15
"226",0.868240888334652,10,"FALSE","FALSE","FALSE",0,33,-1.74
"227",0.868240888334652,10,"FALSE","FALSE","FALSE",0,37,0.78
"228",0.868240888334652,10,"FALSE","FALSE","FALSE",0,33,-3.28
"229",1.71010071662834,10,"FALSE","FALSE","FALSE",0,22,-0.58
"230",1.71010071662834,10,"FALSE","FALSE","FALSE",0,36,-3.42
"231",1.71010071662834,10,"FALSE","FALSE","FALSE",0,33,-61.53
"232",0,10,"FALSE","FALSE","FALSE",0,37,-7.89
"233",0,10,"FALSE","FALSE","FALSE",0,39,-7.08
"234",0,10,"FALSE","FALSE","FALSE",0,36,-5.75
"235",0,10,"FALSE","FALSE","FALSE",0,40,-1.17
"236",0,10,"FALSE","FALSE","FALSE",0,28,0.96
"237",0,10,"FALSE","FALSE","FALSE",0,34,-1
"247",1.21553724366851,6,"FALSE","FALSE","FALSE",0,40,-2.56
"248",1.21553724366851,6,"FALSE","FALSE","FALSE",0,30,-2.19
"249",1.21553724366851,6,"FALSE","FALSE","FALSE",0,31,0.83
"250",1.21553724366851,10,"FALSE","FALSE","FALSE",0,37,0.08
"251",1.21553724366851,10,"FALSE","FALSE","FALSE",0,38,2.13
"252",1.21553724366851,10,"FALSE","FALSE","FALSE",0,31,0.23
"253",9.19253331742774,10,"FALSE","FALSE","FALSE",0,23,-3.08
"254",9.19253331742774,10,"FALSE","FALSE","FALSE",1,37,-0.44
"255",9.19253331742774,10,"FALSE","FALSE","FALSE",1,40,-7.05
"256",9.19253331742774,10,"FALSE","FALSE","FALSE",1,38,-8.11
"257",9.19253331742774,10,"FALSE","FALSE","FALSE",1,40,-6.34
"258",9.19253331742774,10,"FALSE","FALSE","FALSE",1,36,-3.57
"259",21.6129302780759,10,"FALSE","FALSE","FALSE",1,41,-5.39
"260",21.6129302780759,10,"FALSE","FALSE","FALSE",1,29,-4.07
"261",21.6129302780759,10,"FALSE","FALSE","FALSE",1,35,-2
"262",21.6129302780759,10,"FALSE","FALSE","FALSE",1,34,-3.79
"263",21.6129302780759,10,"FALSE","FALSE","FALSE",1,37,-1.34
"264",21.6129302780759,10,"FALSE","FALSE","FALSE",0,31,1.35
"271",4,10,"FALSE","FALSE","FALSE",0,31,-0.9
"272",4,10,"FALSE","FALSE","FALSE",0,25,0.91
"273",4,10,"FALSE","FALSE","FALSE",0,34,4
"274",4,10,"FALSE","FALSE","FALSE",0,25,1.56
"275",4,10,"FALSE","FALSE","FALSE",0,25,-1.85
"276",4,10,"FALSE","FALSE","FALSE",0,16,-1.69
"277",10.9273893646712,10,"FALSE","FALSE","FALSE",0,19,-1.05
"278",10.9273893646712,10,"FALSE","FALSE","FALSE",0,36,-5.81
"279",10.9273893646712,10,"FALSE","FALSE","FALSE",0,38,-11.61
"280",6.8943999880708,10,"FALSE","FALSE","FALSE",0,37,-5.64
"281",6.8943999880708,10,"FALSE","FALSE","FALSE",0,40,-3.75
"282",6.8943999880708,10,"FALSE","FALSE","FALSE",0,35,-3.59
"283",15.0350819325745,10,"FALSE","FALSE","FALSE",0,39,-2.17
"284",15.0350819325745,10,"FALSE","FALSE","FALSE",0,27,-1.2
"285",15.0350819325745,10,"FALSE","FALSE","FALSE",0,39,2.24
"286",15.0350819325745,10,"FALSE","FALSE","FALSE",0,34,-2.21
"287",15.0350819325745,10,"FALSE","FALSE","FALSE",0,37,0.8
"288",15.0350819325745,10,"FALSE","FALSE","FALSE",0,30,0.07
"289",2.39414100327968,10,"FALSE","FALSE","FALSE",0,23,-0.63
"290",2.39414100327968,10,"FALSE","FALSE","FALSE",0,36,-0.11
"291",2.39414100327968,10,"FALSE","FALSE","FALSE",0,40,-9.72
"292",0.868240888334652,10,"FALSE","FALSE","FALSE",0,38,-7.81
"293",0.868240888334652,10,"FALSE","FALSE","FALSE",0,42,-6.8
"294",0.868240888334652,10,"FALSE","FALSE","FALSE",0,35,-0.26
"295",0.868240888334652,10,"FALSE","FALSE","FALSE",0,42,4.28
"296",0.868240888334652,10,"FALSE","FALSE","FALSE",0,29,6.45
"297",0.868240888334652,10,"FALSE","FALSE","FALSE",0,37,3.91
"298",0,10,"FALSE","FALSE","FALSE",0,34,-3.67
"299",0,10,"FALSE","FALSE","FALSE",0,38,-19.23
"300",0,10,"FALSE","FALSE","FALSE",0,32,-1.58
"301",1.38918542133544,10,"FALSE","FALSE","FALSE",0,22,1
"302",1.38918542133544,10,"FALSE","FALSE","FALSE",0,37,-1.56
"303",1.38918542133544,10,"FALSE","FALSE","FALSE",0,36,-79.92
"304",1.21553724366851,10,"FALSE","FALSE","FALSE",0,36,-6.89
"305",1.21553724366851,10,"FALSE","FALSE","FALSE",0,42,-1.67
"306",1.21553724366851,10,"FALSE","FALSE","FALSE",0,33,0.91
"307",7.07066370655193,10,"FALSE","FALSE","FALSE",0,39,-0.2
"308",7.07066370655193,10,"FALSE","FALSE","FALSE",0,27,-4.6
"309",7.07066370655193,10,"FALSE","FALSE","FALSE",0,34,-2.79
"310",7.07066370655193,10,"FALSE","FALSE","FALSE",0,33,-0.44
"311",7.07066370655193,10,"FALSE","FALSE","FALSE",0,37,-0.58
"312",7.07066370655193,10,"FALSE","FALSE","FALSE",0,33,-1
"313",0,10,"FALSE","FALSE","FALSE",0,22,-0.57
"314",0,10,"FALSE","FALSE","FALSE",0,35,-23.09
"315",0,10,"FALSE","FALSE","FALSE",0,31,-57.72
"316",0,10,"FALSE","FALSE","FALSE",0,37,-3.42
"317",0,10,"FALSE","FALSE","FALSE",0,38,-2.42
"318",0,10,"FALSE","FALSE","FALSE",0,36,-1.89
"319",1.7364817766693,10,"FALSE","FALSE","FALSE",0,40,-1.95
"320",1.7364817766693,10,"FALSE","FALSE","FALSE",0,28,-2.14
"321",1.7364817766693,10,"FALSE","FALSE","FALSE",0,34,-1.81
"322",1.7364817766693,10,"FALSE","FALSE","FALSE",0,35,7.42
"323",1.7364817766693,10,"FALSE","FALSE","FALSE",0,37,-3.37
"324",1.7364817766693,10,"FALSE","FALSE","FALSE",0,31,0.13
"325",7.79422863405995,10,"FALSE","FALSE","FALSE",0,23,-0.55
"326",7.79422863405995,10,"FALSE","FALSE","FALSE",0,37,-24.56
"327",7.79422863405995,10,"FALSE","FALSE","FALSE",0,39,-45.44
"328",6.8943999880708,10,"FALSE","FALSE","FALSE",0,39,-1.79
"329",6.8943999880708,10,"FALSE","FALSE","FALSE",1,39,0.83
"330",6.8943999880708,10,"FALSE","FALSE","FALSE",1,37,2.14
"331",15.4269026324769,10,"FALSE","FALSE","FALSE",1,40,-0.55
"332",15.4269026324769,10,"FALSE","FALSE","FALSE",1,30,-3.39
"333",15.4269026324769,10,"FALSE","FALSE","FALSE",0,31,0.87
"334",15.4269026324769,10,"FALSE","FALSE","FALSE",0,37,-0.62
"335",15.4269026324769,10,"FALSE","FALSE","FALSE",0,38,-0.53
"336",15.4269026324769,10,"FALSE","FALSE","FALSE",0,31,-2.2
"337",6.8943999880708,10,"FALSE","FALSE","FALSE",0,23,-34.61
"338",6.8943999880708,10,"FALSE","FALSE","FALSE",1,36,8.39
"339",6.8943999880708,10,"FALSE","FALSE","FALSE",1,40,-4.85
"340",6.8943999880708,10,"FALSE","FALSE","FALSE",1,38,-1.74
"341",6.8943999880708,10,"FALSE","FALSE","FALSE",1,40,-5.76
"342",6.8943999880708,10,"FALSE","FALSE","FALSE",1,36,-3.22
"343",19.6961550602442,10,"FALSE","FALSE","FALSE",1,40,-2.29
"344",19.6961550602442,10,"FALSE","FALSE","FALSE",1,30,-3.63
"345",19.6961550602442,10,"FALSE","FALSE","FALSE",1,35,-2.31
"346",19.6961550602442,10,"FALSE","FALSE","FALSE",1,34,-3.83
"347",19.6961550602442,10,"FALSE","FALSE","FALSE",0,37,-0.55
"348",19.6961550602442,10,"FALSE","FALSE","FALSE",0,31,-3.28
"349",3.2139380484327,10,"FALSE","FALSE","FALSE",0,18,-0.74
"350",3.2139380484327,10,"FALSE","FALSE","FALSE",0,30,-32.25
"351",3.2139380484327,10,"FALSE","FALSE","FALSE",0,37,-29.5
"352",1.21553724366851,10,"FALSE","FALSE","FALSE",0,34,-0.88
"353",1.21553724366851,10,"FALSE","FALSE","FALSE",0,30,6.72
"354",1.21553724366851,10,"FALSE","FALSE","FALSE",0,40,12.41
"355",4.86214897467405,10,"FALSE","FALSE","FALSE",0,31,10.24
"356",4.86214897467405,10,"FALSE","FALSE","FALSE",0,25,5.28
"357",4.86214897467405,10,"FALSE","FALSE","FALSE",0,34,12.32
"358",4.86214897467405,10,"FALSE","FALSE","FALSE",0,25,6.35
"359",4.86214897467405,10,"FALSE","FALSE","FALSE",0,25,4.54
"360",4.86214897467405,10,"FALSE","FALSE","FALSE",0,17,0.59
"361",1.71010071662834,10,"FALSE","FALSE","FALSE",0,19,-4.04
"362",1.71010071662834,10,"FALSE","FALSE","FALSE",0,35,-47.58
"363",1.71010071662834,10,"FALSE","FALSE","FALSE",0,36,-6.97
"364",1.71010071662834,10,"FALSE","FALSE","FALSE",1,36,-1.9
"365",1.71010071662834,10,"FALSE","FALSE","FALSE",1,40,-1.24
"366",1.71010071662834,10,"FALSE","FALSE","FALSE",1,35,-0.51
"367",18.7938524157182,10,"FALSE","FALSE","FALSE",1,40,-1.06
"368",18.7938524157182,10,"FALSE","FALSE","FALSE",1,28,-2.15
"369",18.7938524157182,10,"FALSE","FALSE","FALSE",1,36,-5.32
"370",18.7938524157182,10,"FALSE","FALSE","FALSE",1,37,-3.21
"371",18.7938524157182,10,"FALSE","FALSE","FALSE",0,35,-1.42
"372",18.7938524157182,10,"FALSE","FALSE","FALSE",0,34,-0.4
"373",4.59626665871387,10,"FALSE","FALSE","FALSE",0,23,-56.59
"374",4.59626665871387,10,"FALSE","FALSE","FALSE",0,35,-0.03
"375",4.59626665871387,10,"FALSE","FALSE","FALSE",0,37,0.59
"376",1.02606042997701,10,"FALSE","FALSE","FALSE",0,37,-3.1
"377",1.02606042997701,10,"FALSE","FALSE","FALSE",0,40,0.92
"378",1.02606042997701,10,"FALSE","FALSE","FALSE",0,38,-3.07
