"","cross_LGAa_1","cross_LGAb_1","vis_LGA_1","snow_LGA_1","TS_LGA_1","rain_LGA_1","status_LGA","A_LGA","AirDelay_LGA"
"84",6.89365427108546,1.21553724366851,10,"FALSE","FALSE","FALSE",0,39,1.57
"85",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,44,2.2
"86",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,29,-70.32
"87",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,38,-20.66
"88",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,37,3.86
"89",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,38,3.84
"90",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,38,3.47
"91",4.49951326780577,8,10,"FALSE","FALSE","FALSE",0,35,0.81
"92",4.49951326780577,8,10,"FALSE","FALSE","FALSE",0,38,4.87
"93",4.49951326780577,8,10,"FALSE","FALSE","FALSE",0,37,5.89
"94",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,31,-0.03
"95",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,41,1.07
"96",4.49951326780577,5.36231110183285,10,"FALSE","FALSE","FALSE",0,39,0.16
"97",1.21553724366851,6.89365427108546,6,"FALSE","FALSE","FALSE",0,37,8.3
"98",1.21553724366851,6.89365427108546,6,"FALSE","FALSE","FALSE",0,17,4.22
"99",1.21553724366851,6.89365427108546,6,"FALSE","FALSE","FALSE",0,21,-0.65
"103",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,18,-2.17
"104",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,33,1.76
"105",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,15,-0.87
"109",5.63815572471545,2.05212085995401,3,"FALSE","FALSE","FALSE",0,37,8.95
"110",5.63815572471545,2.05212085995401,3,"FALSE","FALSE","FALSE",0,24,2.25
"111",5.63815572471545,2.05212085995401,3,"FALSE","FALSE","FALSE",0,36,-46.92
"112",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,36,7
"113",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,36,6
"114",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,38,8.87
"115",10,2.05212085995401,5,"FALSE","FALSE","FALSE",0,33,4.36
"116",10,2.05212085995401,5,"FALSE","FALSE","FALSE",0,37,3.57
"117",10,2.05212085995401,5,"FALSE","FALSE","FALSE",0,38,8.73
"118",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,31,5.06
"119",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,39,11.03
"120",5.63815572471545,2.05212085995401,6,"FALSE","FALSE","FALSE",0,38,10.26
"121",9.19253331742774,7.71345131623847,6,"FALSE","FALSE","FALSE",0,44,10.48
"122",9.19253331742774,7.71345131623847,6,"FALSE","FALSE","FALSE",0,29,12.38
"123",9.19253331742774,7.71345131623847,6,"FALSE","FALSE","FALSE",1,38,-46.08
"124",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,37,20.26
"125",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,38,15.24
"126",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,38,19.22
"127",17.9980530712231,21.4492444073314,6,"FALSE","FALSE","FALSE",1,35,8.72
"128",17.9980530712231,21.4492444073314,6,"FALSE","FALSE","FALSE",1,38,6.26
"129",17.9980530712231,21.4492444073314,6,"FALSE","FALSE","FALSE",1,37,-6.26
"130",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,31,-1.85
"131",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,41,-1.45
"132",6.8943999880708,5.78508848717885,6,"FALSE","FALSE","FALSE",1,39,-0.15
"133",11.2763114494309,5,10,"FALSE","FALSE","FALSE",0,44,-11.62
"134",11.2763114494309,5,10,"FALSE","FALSE","FALSE",0,29,-57.59
"135",11.2763114494309,5,10,"FALSE","FALSE","FALSE",0,38,-21.82
"136",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,36,0.25
"137",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,37,2.37
"138",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,37,1.03
"139",10,17.3205080756888,10,"FALSE","FALSE","FALSE",0,35,0.03
"140",10,17.3205080756888,10,"FALSE","FALSE","FALSE",0,38,2.92
"141",10,17.3205080756888,10,"FALSE","FALSE","FALSE",0,37,2.11
"142",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,31,0.45
"143",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,40,8.53
"144",8.66025403784439,5,10,"FALSE","FALSE","FALSE",0,37,3.22
"145",2.39414100327968,12.8025007891587,10,"FALSE","FALSE","FALSE",0,44,5.51
"146",2.39414100327968,12.8025007891587,10,"FALSE","FALSE","FALSE",0,28,6.3
"147",2.39414100327968,12.8025007891587,10,"FALSE","FALSE","FALSE",0,38,8.41
"148",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,35,7.66
"149",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,38,7.03
"150",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,37,2
"151",6.15636257986204,16.9144671741463,10,"FALSE","FALSE","FALSE",0,35,0.55
"152",6.15636257986204,16.9144671741463,10,"FALSE","FALSE","FALSE",0,38,3.54
"153",6.15636257986204,16.9144671741463,10,"FALSE","FALSE","FALSE",0,37,-0.11
"154",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,31,0.76
"155",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",0,40,0.33
"156",2.39414100327968,6.57784834550136,10,"FALSE","FALSE","FALSE",1,39,-0.72
"157",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,44,13.87
"158",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,29,-22.38
"159",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,38,-21.27
"160",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,37,5.74
"161",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,38,5.11
"162",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,38,7.14
"163",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,35,3.26
"164",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,38,1.03
"165",7.66044443118978,21,6,"FALSE","FALSE","TRUE",1,37,2.38
"166",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,31,4.1
"167",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,41,5.49
"168",7.66044443118978,6.42787609686539,10,"FALSE","FALSE","FALSE",1,39,7.13
"169",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,44,-12.76
"170",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,29,4.72
"171",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,38,1.06
"172",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,38,3.86
"173",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,38,3.08
"174",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,38,1.16
"175",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,35,0.66
"176",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,38,3.11
"177",3.9939080863394,22.6505783192808,10,"FALSE","FALSE","FALSE",1,37,4.35
"178",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,31,1.58
"179",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,41,4.54
"180",2.95201902033782,16.7417318012075,10,"FALSE","FALSE","FALSE",1,38,3.06
"181",3.42020143325669,21,10,"FALSE","FALSE","FALSE",0,36,6.28
"182",3.42020143325669,21,10,"FALSE","FALSE","FALSE",0,18,4.57
"183",3.42020143325669,21,10,"FALSE","FALSE","FALSE",0,21,-40.14
