"","cross_JFK_1","vis_JFK_1","snow_JFK_1","TS_JFK_1","rain_JFK_1","status_JFK","A_JFK","AirDelay_JFK"
"85",3.93923101204883,10,"FALSE","FALSE","FALSE",0,15,-5.56
"86",3.93923101204883,10,"FALSE","FALSE","FALSE",0,22,-9
"87",3.93923101204883,10,"FALSE","FALSE","FALSE",0,25,-15.36
"88",3.93923101204883,10,"FALSE","FALSE","FALSE",0,43,-6.8
"89",3.93923101204883,10,"FALSE","FALSE","FALSE",0,35,-2.11
"90",3.93923101204883,10,"FALSE","FALSE","FALSE",0,46,-4.44
"91",8,10,"FALSE","FALSE","FALSE",0,41,-11.71
"92",8,10,"FALSE","FALSE","FALSE",0,34,3.82
"93",8,10,"FALSE","FALSE","FALSE",0,34,-0.06
"94",8,10,"FALSE","FALSE","FALSE",0,32,-3.03
"95",8,10,"FALSE","FALSE","FALSE",0,37,-4.14
"96",8,10,"FALSE","FALSE","FALSE",0,27,-1.46
"97",5.90884651807325,4,"FALSE","FALSE","FALSE",0,14,-3.21
"98",5.90884651807325,4,"FALSE","FALSE","FALSE",0,21,-12.33
"99",5.90884651807325,4,"FALSE","FALSE","FALSE",0,28,-8.96
"100",5.90884651807325,5,"FALSE","FALSE","FALSE",0,45,-10.73
"101",5.90884651807325,5,"FALSE","FALSE","FALSE",0,36,-5.61
"102",5.90884651807325,5,"FALSE","FALSE","FALSE",0,44,2.43
"103",5.90884651807325,5,"FALSE","FALSE","FALSE",0,41,-10.1
"104",5.90884651807325,5,"FALSE","FALSE","FALSE",0,32,1.48
"105",5.90884651807325,5,"FALSE","FALSE","FALSE",0,36,1.75
"106",5.19615242270663,10,"FALSE","FALSE","FALSE",0,32,-1.06
"107",5.19615242270663,10,"FALSE","FALSE","FALSE",0,28,-7.72
"108",5.19615242270663,10,"FALSE","FALSE","FALSE",0,25,2.12
"109",2.5,2,"FALSE","FALSE","FALSE",0,15,-6.67
"110",2.5,2,"FALSE","FALSE","FALSE",0,21,-17.43
"111",2.5,2,"FALSE","FALSE","FALSE",0,29,-11.69
"112",2.5,2,"FALSE","FALSE","FALSE",0,43,-10
"113",2.5,2,"FALSE","FALSE","FALSE",0,36,-5.11
"114",2.5,2,"FALSE","FALSE","FALSE",0,46,0.66
"115",2.5,2,"FALSE","FALSE","FALSE",0,42,-7.68
"116",2.5,2,"FALSE","FALSE","FALSE",0,34,-1.34
"117",2.5,2,"FALSE","FALSE","FALSE",0,37,-2.19
"118",1.7364817766693,4,"FALSE","FALSE","FALSE",0,33,-5
"119",1.7364817766693,4,"FALSE","FALSE","FALSE",0,36,-0.92
"120",1.7364817766693,4,"FALSE","FALSE","FALSE",0,29,-3.4
"121",5,4,"FALSE","FALSE","FALSE",0,15,-47.44
"122",5,4,"FALSE","FALSE","FALSE",0,21,1.18
"123",5,4,"FALSE","FALSE","FALSE",1,26,-8.11
"124",5,6,"FALSE","FALSE","FALSE",1,44,-1.02
"125",5,6,"FALSE","FALSE","FALSE",1,35,4.75
"126",5,6,"FALSE","FALSE","FALSE",1,46,10.57
"127",20.5692035099693,6,"FALSE","FALSE","FALSE",1,38,-10.54
"128",20.5692035099693,6,"FALSE","FALSE","FALSE",1,31,8.87
"129",20.5692035099693,6,"FALSE","FALSE","FALSE",1,35,3.48
"130",20.5692035099693,10,"FALSE","FALSE","FALSE",1,31,0.53
"131",20.5692035099693,10,"FALSE","FALSE","FALSE",0,36,13.17
"132",20.5692035099693,10,"FALSE","FALSE","FALSE",0,28,0.21
"133",7.71345131623847,10,"FALSE","FALSE","FALSE",0,12,-67.67
"134",7.71345131623847,10,"FALSE","FALSE","FALSE",0,22,-13.43
"135",7.71345131623847,10,"FALSE","FALSE","FALSE",0,25,-6.16
"136",7.71345131623847,10,"FALSE","FALSE","FALSE",0,42,-6.79
"137",7.71345131623847,10,"FALSE","FALSE","FALSE",0,37,-8.8
"138",7.71345131623847,10,"FALSE","FALSE","FALSE",0,45,-0.96
"139",15.3208888623796,10,"FALSE","FALSE","FALSE",0,36,-6.46
"140",15.3208888623796,10,"FALSE","FALSE","FALSE",0,33,1.72
"141",15.3208888623796,10,"FALSE","FALSE","FALSE",0,33,-0.97
"142",15.3208888623796,10,"FALSE","FALSE","FALSE",0,31,1.23
"143",15.3208888623796,10,"FALSE","FALSE","FALSE",0,35,-1.22
"144",15.3208888623796,10,"FALSE","FALSE","FALSE",0,24,-4.17
"145",10,10,"FALSE","FALSE","FALSE",0,13,-2.08
"146",10,10,"FALSE","FALSE","FALSE",0,23,-14.77
"147",10,10,"FALSE","FALSE","FALSE",0,27,-7.04
"148",9.84807753012208,10,"FALSE","FALSE","FALSE",0,42,-8.4
"149",9.84807753012208,10,"FALSE","FALSE","FALSE",0,35,-2.33
"150",9.84807753012208,10,"FALSE","FALSE","FALSE",0,46,4.87
"151",14.0953893117886,10,"FALSE","FALSE","FALSE",0,37,-9.13
"152",14.0953893117886,10,"FALSE","FALSE","FALSE",0,33,-13.48
"153",14.0953893117886,10,"FALSE","FALSE","FALSE",0,34,3
"154",14.0953893117886,10,"FALSE","FALSE","FALSE",0,30,-5.39
"155",14.0953893117886,10,"FALSE","FALSE","FALSE",1,34,-7.47
"156",14.0953893117886,10,"FALSE","FALSE","FALSE",0,26,-3.22
"157",12,6,"FALSE","FALSE","TRUE",0,13,-1.33
"158",12,6,"FALSE","FALSE","TRUE",0,22,-8.13
"159",12,6,"FALSE","FALSE","TRUE",0,26,-11.7
"160",12,6,"FALSE","FALSE","TRUE",0,44,-8.7
"161",12,6,"FALSE","FALSE","TRUE",0,37,-1.95
"162",12,6,"FALSE","FALSE","TRUE",0,45,3.64
"163",24,6,"FALSE","FALSE","TRUE",0,40,-2.45
"164",24,6,"FALSE","FALSE","TRUE",1,32,1.34
"165",24,6,"FALSE","FALSE","TRUE",1,36,9.63
"166",24,6,"FALSE","FALSE","TRUE",1,32,-3.29
"167",24,6,"FALSE","FALSE","TRUE",1,37,-1.92
"168",24,6,"FALSE","FALSE","TRUE",0,25,-2.07
"169",15,10,"FALSE","FALSE","FALSE",0,15,-5.06
"170",15,10,"FALSE","FALSE","FALSE",0,22,-10.05
"171",15,10,"FALSE","FALSE","FALSE",0,25,-8.22
"172",15,10,"FALSE","FALSE","FALSE",0,43,-6.93
"173",15,10,"FALSE","FALSE","FALSE",1,35,-6.43
"174",15,10,"FALSE","FALSE","FALSE",1,46,-11.63
"175",21,10,"FALSE","FALSE","FALSE",1,41,-9.44
"176",21,10,"FALSE","FALSE","FALSE",1,34,4.37
"177",21,10,"FALSE","FALSE","FALSE",1,34,6.28
"178",21,10,"FALSE","FALSE","FALSE",1,32,-2.52
"179",21,10,"FALSE","FALSE","FALSE",1,37,-7.46
"180",21,10,"FALSE","FALSE","FALSE",1,27,-0.93
"181",12,10,"FALSE","FALSE","FALSE",0,13,-10.23
"182",12,10,"FALSE","FALSE","FALSE",0,22,-13.41
"183",12,10,"FALSE","FALSE","FALSE",0,27,-18.15
"184",12,10,"FALSE","FALSE","FALSE",0,45,-10.19
"185",12,10,"FALSE","FALSE","FALSE",0,36,-10.03
"186",12,10,"FALSE","FALSE","FALSE",0,44,-6.26
"187",21.6657705662686,10,"FALSE","FALSE","FALSE",0,37,-7.62
"188",21.6657705662686,10,"FALSE","FALSE","FALSE",0,33,9.09
"189",21.6657705662686,10,"FALSE","FALSE","FALSE",0,34,6.73
"190",21.6657705662686,10,"FALSE","FALSE","FALSE",0,32,2.06
"191",21.6657705662686,10,"FALSE","FALSE","FALSE",0,28,-3.43
"192",21.6657705662686,10,"FALSE","FALSE","FALSE",0,25,1.48
"193",12.1243556529821,10,"FALSE","FALSE","FALSE",0,15,-8.06
"194",12.1243556529821,10,"FALSE","FALSE","FALSE",0,21,-19
"195",12.1243556529821,10,"FALSE","FALSE","FALSE",0,29,-20.59
"196",12.1243556529821,10,"FALSE","FALSE","FALSE",0,43,-15.56
"197",12.1243556529821,10,"FALSE","FALSE","FALSE",0,35,-10.66
"198",12.1243556529821,10,"FALSE","FALSE","FALSE",0,46,-4.49
"199",12.1243556529821,10,"FALSE","FALSE","FALSE",0,41,-19.71
"200",12.1243556529821,10,"FALSE","FALSE","FALSE",0,34,2.34
"201",12.1243556529821,10,"FALSE","FALSE","FALSE",0,36,0.26
"202",6.8943999880708,10,"FALSE","FALSE","FALSE",0,33,-4.89
"203",6.8943999880708,10,"FALSE","FALSE","FALSE",0,35,-7.89
"204",6.8943999880708,10,"FALSE","FALSE","FALSE",0,29,3.9
"205",5,10,"FALSE","FALSE","FALSE",0,15,-6.94
"206",5,10,"FALSE","FALSE","FALSE",0,21,-15.71
"207",5,10,"FALSE","FALSE","FALSE",0,25,-9.81
"208",5,10,"FALSE","FALSE","FALSE",0,44,-10.95
"209",5,10,"FALSE","FALSE","FALSE",0,35,-6.94
"210",5,10,"FALSE","FALSE","FALSE",0,46,-2.4
"211",5.14230087749231,10,"FALSE","FALSE","FALSE",0,37,-14.59
"212",5.14230087749231,10,"FALSE","FALSE","FALSE",0,32,0.58
"213",5.14230087749231,10,"FALSE","FALSE","FALSE",0,35,2.25
"214",5.14230087749231,10,"FALSE","FALSE","FALSE",0,31,-1.19
"215",5.14230087749231,10,"FALSE","FALSE","FALSE",0,36,-4.78
"216",5.14230087749231,10,"FALSE","FALSE","FALSE",0,28,-5.34
"217",5.19615242270663,10,"FALSE","FALSE","FALSE",0,13,-2
"218",5.19615242270663,10,"FALSE","FALSE","FALSE",0,22,-51.1
"219",5.19615242270663,10,"FALSE","FALSE","FALSE",0,25,-13.12
"220",5.19615242270663,10,"FALSE","FALSE","FALSE",0,41,-9.82
"221",5.19615242270663,10,"FALSE","FALSE","FALSE",0,36,-6.59
"222",5.19615242270663,10,"FALSE","FALSE","FALSE",0,46,-4.49
"223",5.19615242270663,10,"FALSE","FALSE","FALSE",0,33,-12.48
"224",5.19615242270663,10,"FALSE","FALSE","FALSE",0,33,0.32
"225",5.19615242270663,10,"FALSE","FALSE","FALSE",0,33,-0.79
"226",0,10,"FALSE","FALSE","FALSE",0,30,-8.57
"227",0,10,"FALSE","FALSE","FALSE",0,36,-7.49
"228",0,10,"FALSE","FALSE","FALSE",0,23,7.64
"229",5.19615242270663,10,"FALSE","FALSE","FALSE",0,13,-6.58
"230",5.19615242270663,10,"FALSE","FALSE","FALSE",0,22,-47.14
"231",5.19615242270663,10,"FALSE","FALSE","FALSE",0,27,-9.14
"241",4.33012701892219,6,"FALSE","FALSE","FALSE",0,13,-0.93
"242",4.33012701892219,6,"FALSE","FALSE","FALSE",0,22,-4.5
"243",4.33012701892219,6,"FALSE","FALSE","FALSE",0,25,4.33
"244",4.33012701892219,6,"FALSE","FALSE","FALSE",0,44,2.02
"245",4.33012701892219,6,"FALSE","FALSE","FALSE",0,36,-5.03
"246",4.33012701892219,6,"FALSE","FALSE","FALSE",0,45,-0.87
"247",8,6,"FALSE","FALSE","FALSE",0,37,0.55
"248",8,6,"FALSE","FALSE","FALSE",0,32,6.66
"249",8,6,"FALSE","FALSE","FALSE",0,37,8.95
"250",8,10,"FALSE","FALSE","FALSE",0,32,5.64
"251",8,10,"FALSE","FALSE","FALSE",0,37,15.7
"252",8,10,"FALSE","FALSE","FALSE",0,25,7.35
"253",14.1413274131039,10,"FALSE","FALSE","FALSE",0,14,-2.29
"254",14.1413274131039,10,"FALSE","FALSE","FALSE",0,22,-46.64
"255",14.1413274131039,10,"FALSE","FALSE","FALSE",0,25,-6.31
"256",9.64181414529809,10,"FALSE","FALSE","FALSE",0,43,-0.5
"257",9.64181414529809,10,"FALSE","FALSE","FALSE",0,35,-5.71
"258",9.64181414529809,10,"FALSE","FALSE","FALSE",0,46,-5.58
"259",9.64181414529809,10,"FALSE","FALSE","FALSE",0,37,-6.53
"260",9.64181414529809,10,"FALSE","FALSE","FALSE",0,34,1.15
"261",9.64181414529809,10,"FALSE","FALSE","FALSE",0,35,3
"262",7.86646329649038,10,"FALSE","FALSE","FALSE",0,32,3.5
"263",7.86646329649038,10,"FALSE","FALSE","FALSE",0,37,-2.65
"264",7.86646329649038,10,"FALSE","FALSE","FALSE",0,27,-3.29
"271",7.66044443118978,10,"FALSE","FALSE","FALSE",0,38,-8.7
"272",7.66044443118978,10,"FALSE","FALSE","FALSE",0,33,6.03
"273",7.66044443118978,10,"FALSE","FALSE","FALSE",0,37,5.51
"274",7.66044443118978,10,"FALSE","FALSE","FALSE",0,33,4.09
"275",7.66044443118978,10,"FALSE","FALSE","FALSE",0,28,-2.23
"276",7.66044443118978,10,"FALSE","FALSE","FALSE",0,25,-0.48
"277",11.4906666467847,10,"FALSE","FALSE","FALSE",0,14,-2.36
"278",11.4906666467847,10,"FALSE","FALSE","FALSE",0,21,-7.64
"279",11.4906666467847,10,"FALSE","FALSE","FALSE",0,29,-37.11
"280",5.5,10,"FALSE","FALSE","FALSE",0,43,-2.28
"281",5.5,10,"FALSE","FALSE","FALSE",0,36,-1.95
"282",5.5,10,"FALSE","FALSE","FALSE",0,46,-2.78
"283",5.5,10,"FALSE","FALSE","FALSE",0,40,-7.51
"284",5.5,10,"FALSE","FALSE","FALSE",0,34,5.97
"285",5.5,10,"FALSE","FALSE","FALSE",0,37,5.65
"286",4.78828200655936,10,"FALSE","FALSE","FALSE",0,33,-0.15
"287",4.78828200655936,10,"FALSE","FALSE","FALSE",0,36,1.86
"288",4.78828200655936,10,"FALSE","FALSE","FALSE",0,29,5.07
"289",6.06217782649107,10,"FALSE","FALSE","FALSE",0,14,-0.07
"290",6.06217782649107,10,"FALSE","FALSE","FALSE",0,21,-8.68
"291",6.06217782649107,10,"FALSE","FALSE","FALSE",0,25,3.37
"292",6.06217782649107,10,"FALSE","FALSE","FALSE",0,44,-3.12
"293",6.06217782649107,10,"FALSE","FALSE","FALSE",0,34,-1.94
"294",6.06217782649107,10,"FALSE","FALSE","FALSE",0,46,-1.22
"295",11.8176930361465,10,"FALSE","FALSE","FALSE",0,36,-17.49
"296",11.8176930361465,10,"FALSE","FALSE","FALSE",0,32,4.16
"297",11.8176930361465,10,"FALSE","FALSE","FALSE",0,34,-19.55
"298",11.8176930361465,10,"FALSE","FALSE","FALSE",0,31,-2.1
"299",11.8176930361465,10,"FALSE","FALSE","FALSE",0,36,-3.05
"300",11.8176930361465,10,"FALSE","FALSE","FALSE",0,28,6.66
"301",10.8328852831343,10,"FALSE","FALSE","FALSE",0,12,-0.54
"302",10.8328852831343,10,"FALSE","FALSE","FALSE",0,22,-4.4
"303",10.8328852831343,10,"FALSE","FALSE","FALSE",0,25,-5.52
"304",9.84807753012208,10,"FALSE","FALSE","FALSE",0,42,-1.37
"305",9.84807753012208,10,"FALSE","FALSE","FALSE",0,36,-3.42
